worker_id,latitude,longitude,rainfall_mm,orders_accepted,orders_completed,is_active,gps_movement_km,rejected_orders,session_interactions,distance_from_event,claim_count_last_7_days,weather_api_1_mm,weather_api_2_mm,weather_api_3_mm,weather_disagreement_mm,claim_hour,trigger_met,location_check_pass,behavior_check_pass,activity_check_pass,activity_failed_checks,activity_validation_score,activity_validation_reasons,passive_presence_flag,official_data_check_pass,calculated_distance_km,gps_spoof_flag,duplicate_claim_flag,time_pattern_flag,fraud_label
1223,12.93061884348348,77.59979129289847,104.07,9,2,0,5.41,8,27,5.08,2,104.91,104.22,103.09,1.82,8,1,0,1,0,1,0.8,worker not logged in,0,1,4.59,0,0,0,1
2934,13.00792251374072,77.55813254894687,58.02,9,4,0,7.28,6,35,5.61,5,58.08,60.3,55.68,4.62,1,1,0,0,0,1,0.8,worker not logged in,0,1,5.65,0,1,1,1
2636,12.979584321772107,77.67013509085587,29.75,6,1,1,2.77,5,21,8.75,1,25.02,33.59,30.65,8.57,18,0,0,1,0,1,0.8,too many rejected orders,0,0,8.23,0,0,0,1
2097,12.960145354565393,77.53666568648119,11.33,15,12,1,36.65,5,71,6.54,0,21.18,7.93,4.89,16.29,12,0,0,1,0,1,0.8,too many rejected orders,0,0,6.41,0,0,0,1
2082,12.948157934400978,77.64426549051595,87.44,0,0,1,0.17,6,2,6.11,0,89.3,89.37,83.64,5.72,14,1,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,5.98,0,0,0,1
3146,13.024287133602318,77.6564719168273,49.62,0,0,1,0.0,6,0,9.74,3,49.55,58.82,40.49,18.32,13,0,0,0,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,8.9,0,0,0,1
1214,12.945980397125783,77.53849237290387,82.03,7,0,1,2.06,9,17,7.29,0,83.29,80.45,82.36,2.84,23,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,6.71,0,0,1,1
2743,13.054494324255673,77.74632762698496,2.8,0,0,1,0.16,6,1,19.43,1,5.35,0.0,3.04,5.35,19,0,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,18.85,0,0,0,1
1503,12.962154796328882,77.59190629388763,36.91,8,5,1,16.9,4,30,0.81,0,28.22,47.93,34.57,19.7,14,0,0,1,1,0,1.0,genuine activity verified,0,0,1.09,0,0,0,1
1235,12.942224489704348,77.67090543881768,32.21,8,5,0,12.84,4,30,9.66,0,32.38,41.79,22.45,19.33,8,0,0,1,0,1,0.8,worker not logged in,0,0,8.89,0,0,0,1
