Rainfall,AQI,Traffic,Temperature,Humidity,Snow_Ice,Thunderstorm,Flooding,Extreme_Heat,Severe_Pollution,Curfew,Market_Closure,Platform_Downtime,Delivery_Time,Orders,Payout
93.83,330,0.36,-15.5,29,0,0,1,0,0,0,0,0,99.42,219,692.32
122.89,406,0.82,13.1,40,0,0,0,0,1,0,0,0,72.13,210,274.13
186.09,24,0.13,41.3,92,0,1,1,0,0,0,0,0,109.46,138,1019.29
9.84,2,0.12,1.5,12,1,0,0,0,0,0,0,0,60.68,455,250.79
110.02,132,0.19,39.5,78,0,1,1,0,0,0,0,0,100.15,237,822.99
85.9,383,0.93,28.3,55,0,0,0,0,0,0,0,0,70.44,238,153.85
4.53,175,0.92,-2.2,10,1,0,0,0,0,0,0,0,88.98,263,284.38
108.11,5,0.64,36.3,8,0,0,1,0,0,0,0,0,103.62,127,578.67
83.21,210,0.7,-18.8,45,1,0,1,0,0,0,0,0,141.38,50,945.25
97.37,484,0.43,42.9,80,0,1,0,0,1,0,0,0,66.66,346,557.71
70.15,297,0.37,0.7,13,0,0,0,0,0,0,1,0,48.47,402,415.9
197.8,10,0.63,-15.5,66,1,0,0,0,0,0,0,0,114.47,45,731.45
182.56,270,0.92,50.7,52,0,0,0,1,0,0,0,0,92.58,96,464.34
87.5,352,0.87,22.9,88,0,1,0,0,0,0,0,0,80.58,251,390.96
42.54,312,0.76,28.0,74,0,1,0,0,0,0,0,0,69.98,346,251.35
74.32,340,0.31,43.7,10,0,0,0,0,0,0,0,0,47.0,411,136.48
48.13,391,0.15,3.8,61,0,0,0,0,0,0,0,0,37.47,490,0.0
43.4,275,0.55,30.2,51,0,0,0,0,0,0,0,0,50.76,397,0.0
15.29,256,0.22,14.1,93,0,0,0,0,0,0,0,0,34.99,522,0.0
84.38,208,0.87,-17.2,30,1,0,1,0,0,0,0,0,146.71,5,1030.94
167.41,288,0.14,4.5,88,0,0,0,0,0,0,0,0,55.01,313,276.12
136.02,322,0.52,-6.1,98,1,0,0,0,0,0,0,0,96.65,165,589.51
21.79,188,0.76,40.2,79,0,0,0,0,0,0,0,0,54.87,377,0.0
80.14,472,0.37,-18.2,92,1,0,0,0,1,0,0,0,89.07,287,763.71
94.69,52,0.19,4.2,98,0,0,0,0,0,0,0,0,45.85,410,167.03
57.32,16,0.34,7.8,82,0,0,0,0,0,0,0,0,45.5,429,110.98
94.54,172,0.72,34.6,42,0,0,1,0,0,0,0,0,104.38,128,633.85
174.47,258,0.52,47.5,10,0,1,1,1,0,0,1,0,129.37,58,1327.74
162.99,253,0.93,-11.0,100,0,0,0,0,0,0,0,0,87.5,123,399.49
102.95,375,0.83,34.3,71,0,1,1,0,0,0,0,0,121.49,88,687.99
6.17,208,0.28,9.2,94,0,0,0,0,0,0,0,0,35.73,520,0.0
85.06,339,0.78,37.4,5,0,1,0,0,0,0,0,0,77.06,277,442.18
161.37,160,0.42,43.7,15,0,0,0,0,0,0,0,0,63.91,252,267.06
157.18,105,0.4,-5.2,73,0,0,1,0,0,0,0,0,105.18,114,769.52
179.1,37,0.94,11.3,66,0,0,0,0,0,0,0,0,84.77,96,293.65
131.71,22,0.25,-18.4,76,0,0,1,0,0,0,0,0,102.71,189,872.2
172.02,400,0.72,42.5,21,0,1,1,0,0,0,0,0,128.0,11,917.13
156.64,346,0.42,42.3,83,0,1,0,0,0,0,0,0,75.2,260,533.58
37.87,251,0.43,45.6,35,0,0,0,1,0,0,0,0,53.73,435,89.0
38.01,324,0.98,24.2,52,0,0,0,0,0,0,0,0,65.0,297,0.0
91.74,226,0.48,-6.9,99,1,0,1,0,0,0,0,0,129.01,92,955.15
87.19,185,0.91,-5.1,67,0,0,0,0,0,0,0,0,72.48,241,256.28
24.12,472,0.89,43.6,12,0,0,0,0,1,0,0,0,59.77,341,117.6
78.39,251,0.49,-1.3,45,1,0,0,0,0,0,0,0,84.56,259,482.35
16.18,79,0.22,43.1,76,0,0,0,0,0,0,0,0,35.13,520,0.0
11.66,404,0.26,28.4,47,0,0,0,0,1,0,0,0,35.85,517,63.2
83.11,446,0.79,15.1,34,0,0,0,0,1,0,0,0,65.12,277,246.47
125.91,463,0.15,8.9,59,0,0,1,0,1,0,0,0,89.14,223,718.39
67.59,0,0.56,33.0,91,0,1,0,0,0,0,0,0,66.74,358,308.6
161.86,35,0.67,23.2,37,0,0,1,0,0,0,0,0,112.73,39,578.43
115.34,325,0.33,-7.0,60,1,0,1,0,0,0,0,0,127.35,94,1069.47
197.57,185,0.7,28.3,42,0,0,0,0,0,0,1,0,79.14,128,512.99
122.83,35,0.16,-4.4,13,1,0,0,0,0,0,0,0,81.22,275,535.42
165.74,295,0.64,-8.2,97,1,0,0,0,0,0,0,1,106.36,91,829.28
54.9,282,0.82,-9.8,20,1,0,0,0,0,0,0,0,96.84,212,494.08
84.46,325,0.87,10.6,58,0,0,0,0,0,0,0,0,68.12,255,151.69
158.75,5,0.72,-11.8,72,0,0,0,0,0,0,0,0,79.91,181,397.12
140.35,415,0.89,27.9,40,0,1,1,0,1,0,0,0,129.2,16,997.81
69.02,404,0.26,11.9,18,0,0,0,0,1,0,0,0,44.45,431,191.73
